Rank,Address,"(High, Low) Byte",Hits,Resonance
1,24445,"(95, 125)",1994,1.28x
2,22473,"(87, 201)",1965,1.26x
3,17480,"(68, 72)",1962,1.26x
4,61207,"(239, 23)",1960,1.25x
5,24113,"(94, 49)",1958,1.25x
6,6392,"(24, 248)",1958,1.25x
7,42281,"(165, 41)",1952,1.25x
8,8896,"(34, 192)",1951,1.25x
9,26387,"(103, 19)",1950,1.25x
10,9184,"(35, 224)",1949,1.25x
11,42577,"(166, 81)",1949,1.25x
12,6855,"(26, 199)",1945,1.24x
13,1940,"(7, 148)",1940,1.24x
14,20575,"(80, 95)",1940,1.24x
15,15013,"(58, 165)",1939,1.24x
16,56379,"(220, 59)",1938,1.24x
17,24764,"(96, 188)",1935,1.24x
18,51362,"(200, 162)",1935,1.24x
19,49524,"(193, 116)",1934,1.24x
20,8017,"(31, 81)",1934,1.24x
